Line #,Key,hy Version,ka Translation
300,hy.admin.index.visualizations,Visualizations,Վիզուալիզացիաներ
301,hy.admin.index.users,Users,Օգտատերեր
302,hy.admin.index.pages,Pages,Էջեր
303,hy.admin.index.idea_statuses,Idea Status,Գաղափարի կարգավիճակ
304,hy.admin.users.edit.title,Editing User,Խմբագրելու իրավունք ունեցող օգտատեր
305,hy.admin.users.index.title,Users,Օգտատերեր
306,hy.admin.users.new.title,New User,Նոր օգտատեր
307,hy.admin.users.show.title,User Details,Օգտատերի մասին 
308,hy.root.index.title,Visualizations,Վիզուալիզացիա
309,hy.root.index.header_get_involved,Get Involved!,Ներգրավվի՛ր
310,hy.root.index.header_ideas,Ideas,Գաղափարներ
311,hy.root.index.header_visuals,Visuals,Վիզուալներ
312,hy.root.index.header_data,Data,Տվյալներ
313,hy.root.index.text_get_involved,"If you are passionate about exploring and visualizing data, or just have interesting questions that we could answer visually, then get involved!","Եթե Ձեզ հետաքրքրում է տվյալների ուսումնասիրությունը և պատկերավորումը, կամ ունեք հետաքրքիր հարցեր, որոնց մենք կարող ենք պատկերավոր պատասխանել, միացե՛ք"
314,hy.root.index.text_ideas,"Have an idea for a news story? Wish the media would report on an issue that is important to you? Post your idea here. If it is a good one, chances are, a journalist will work on it.","Նորության գաղափա՞ր ունեք: Կցանկանայիք, որ լրատվամիջոցները լուսաբանեն Ձեզ համար կարևոր խնդիրը: Ներկայացրեք Ձեր գաղափարներն այստեղ: Եթե այն լավն է, շատ հավանական է, որ լրագրողը կաշխատի դրա վրա:"
315,hy.root.index.text_visuals,You too can contribute your visual ideas. Go ahead and register with us and begin posting your visuals under your or your organization’s name!,Դուք կարող եք ներկայացնել Ձեր վիզուալ գաղափարները: Գրանցվեք մեզ մոտ և սկսեք ներկայացնել Ձեր վիզուլները Ձեր կամ Ձեր կազմակերպության անունից:
316,hy.root.index.text_data,"If you or your organization possess data that you think is of social interest and you would like someone to visualize it, please send us your data. ","եթե Դուք կամ Ձեր կազմակերպությունը ունի տվյալներ, որոնք Ձեր կարծիքով հանրային հետաքրքրության առարկա են, և ցանկանում եք որևէ մեկը պատկերավորի դրանք, ուղարկեք այդ տվյալները մեզ:"
317,hy.root.index.button_ideas,Post Idea,Ներկայացնել գաղափար
318,hy.root.index.button_visuals,Register,Գրանցվել
319,hy.root.index.button_data,Send Data,Ուղարկել տվյալներ
320,hy.root.about.title,About,Մասին
321,hy.root.about.meta_description,"Visualization provides a unique perspective on data. We seek out data from a variety of organizations, both public and private. We make information colourful by visualizing stories using a variety of tools.	We publish these visualizations on our website, make them freely available for others to use, share them with you, and hope you share them with others.","Վիզուալիզացիան յուրօրինակ մոտեցում է տվյալներին: Մենք տվյալներ ենք փնտրում մի շարք կազմակերպություններից՝ հանրային և մասնավոր: Մենք օգտագործում ենք տարբեր միջոցներ՝ տվյալները պատկերավորելու համար: Մենք տեղադրում ենք այս վիզուալիզացիաները մեր էջկայքում՝ ազատ օգտագորպման համար, կիսվում Ձեզ հետ և հույս ունենք, որ Դուք էլ կկիսվեք ուրիշների հետ:"
322,hy.root.data.title,Send Data,Ուղարկել տվյալներ
323,hy.root.data.meta_description,"Do you have data that you would like to see visualized, but do not have the time or skills? Share your data here! If it is interesting, there is a good chance someone will use it, which means you can then reuse their visualization. By sharing with the community, you are becoming part of something larger in which everyone involved benefits.","Ունե՞ք տվյալներ, որը կցանկանայիք պատկերավորել, բայց չունեք ժամանակ կամ հմտություններ: Տեղադրեք տվյալները այստեղ: Եթե հետաքրքիր են, շատ հնարավոր է, որ որևէ մեկը կօգտագործի այն,և Դուք կկարողանաք օգտագործել վիզուալիզացիան: Կիսվելով համայնքի հետ՝ Դուք դառնում եք ավելի մեծի մի մաս, որտեղ բոլորը շահում են:"
324,hy.root.data.message_sent,Your message has been sent! Thank you for contacting us.,Ձեր հաղորդագրությունը ուղարկված է: Շնորհակալություն մեզ հետ կապնվելու համար:
325,hy.root.data.send,Send,Ուղարկել
326,hy.root.data.name,Name,Անուն
327,hy.root.data.phone,Phone Number,Հեռախոսահամար
328,hy.root.data.email,Email Address,Էլ. հասցե
329,hy.root.data.what_is_data,Briefly describe the data that you want to visualize,"Հակիրճ ներկայացրեք տվյալները, որոնք ոցանկանում եք պատկերավորել"
330,hy.root.data.why_visualize,Why do you want to visualize this data?,Ինո՞ւ եք ցանկանում պատկերավորել այս տվյալները
331,hy.root.data.datasource,What is the data source?,Ո՞րն է տվյալների աղբյուրը
332,hy.root.data.file,Attach the data file,Կցեք տվյալների ֆայլը
333,hy.root.data.email_us,Send us an email,Ուղարկեք մեզ հաղորդագրություն
334,hy.root.data.email_subject,feradi.info Send Data Request,feradi.info ուղարկեք տվյալների հայցում
335,hy.root.submit_visual.title,Submit a Visual,Ներկայացնել պատկեր
336,hy.root.submit_visual.message_sent,Your message has been sent! Thank you for contacting us.,Ձեր հաղորդագրությունը ուղարկված է: Շնորհակալություն մեզ հետ կապնվելու համար:
337,hy.root.submit_visual.send,Send,Ուղարկել
338,hy.root.submit_visual.name,Name,Անուն
339,hy.root.submit_visual.phone,Phone Number,Հեռախոսահամար
340,hy.root.submit_visual.email,Email Address,Էլ. հասցե
341,hy.root.submit_visual.how_use,Why would you like to use feradi.info to post your visualiations?,Ինչո՞ւ էք ցանկանում feradi.info-ում ներկայացնել Ձեր վիզուալիզացիան
342,hy.root.submit_visual.email_us,Send us an email,Ուղարկեք մեզ նամակ
343,hy.root.submit_visual.email_subject,feradi.info Submit Visual Request,feradi.info ուղարկեք պատկերի հայցում
344,hy.root.terms.title,Terms of Service,Ծառայության մատուցման պայմաններ
345,hy.root.rss.title,RSS,RSS
346,hy.root.contact.title,Contact Us,Կապնվեք մեզ հետ
347,hy.root.contact.meta_description,"If you are interested in visualizing data, but do not know how to do it, get in touch with us. We would love to invite you to our office, share our knowledge and experience, and welcome you to data visualization community!","Եթե հետաքրքրված եք տվյալներ պատկերավորել, բայց չգիտեք, թե ինչպես, կապնվեք մեզ հետ: Մենք սիրով կհրավիրենք Ձեզ մեր գրասենյակ՝ կիսվելու մեր գիտելիքներով և փորձառությամբ և ընդունելու Ձեզ տվյալների պատկերավորման համայնք:"
348,hy.root.contact.message_sent,Your message has been sent! Thank you for contacting us.,Ձեր հաղորդագրությունը ուղարկված է: Շնորհակալություն մեզ հետ կապնվելու համար:
349,hy.root.contact.send,Send,Ուղարկել
350,hy.root.contact.name,Name,Անուն
351,hy.root.contact.email,Email Address,Էլ.հասցե
352,hy.root.contact.message,Message,Հաղորդագրություն
353,hy.root.contact.address_map,Find our office on the map,Գտեք մեր գրասենյակը քարտեզի վրա
354,hy.root.contact.email_us,Send us an email,Ուղարկեք մեզ նամակ
355,hy.root.contact.email_subject,feradi.info Contact Form,feradi.info կապի ձև
356,hy.root.contact.address,"#5 Shevchenko St, Apt 2, 0108, Tbilisi, Georgia","Շևչենկո փ. 5, բնակարան 2, Թբիլիսի, 0108, Վրաստան"
357,hy.root.contact.error_title,An error has occurred,Սխալ է տեղի ունեցել
358,hy.visuals.index.title,Visualizations,Վիզուալիզացիա
359,hy.visuals.index.title_feed,%{app_name} Visualizations,%{app_name} վիզուալիզացիա
360,hy.shared.visuals_show.organization,Organization,Կազմակերպություն
361,hy.shared.visuals_show.reporter,Reporter,Թղթակից
362,hy.shared.visuals_show.designer,Designer,Ձևավորող
363,hy.shared.visuals_show.developer,Developer,Ծրագրավորող
364,hy.shared.visuals_show.data_source,Data Source,Տվյալների աղբյուր
365,hy.shared.visuals_show.data_set,Data Set,Տվյալների բազա
366,hy.shared.visuals_show.type,Type,Տիպ
367,hy.shared.visuals_show.embed,Embed,Կցել
368,hy.shared.visuals_show.embed_link_title,Click to view larger image,Տեսնել մեծ պատկերը
369,hy.shared.visuals_show.embed_link_interactive_title,Click to view interactive visualization,Տեսնել ինտերակտիվ վիզուալիզացիան
370,hy.shared.visuals_show.comment_count,Comments,Մեկնաբանություններ
371,hy.shared.visuals_filter_bar.categories,Categories,Կատեգորիաներ
372,hy.shared.ideas_list.no_ideas,No Idea records were found.,Գաղափարը չի գտնված
373,hy.shared.ideas_list.idea_title,Idea #%{number},Գաղափար #%{number}
374,hy.shared.ideas_grid.idea_title,Idea #%{number},Գաղափար #%{number}
375,hy.shared.ideas_form.sign_in,Sign In to Post,Մուտք գործեք՝ գրառում կատարելու համար
376,hy.visualizations.form.preview,Preview,Նախնական դիտարկում
377,hy.visualizations.form.crop_image,Create %{language} Thumbnail Image,Ստեղծել %{language} նմուշի պատկեր
378,hy.visualizations.form.reset_file,Load New %{language} Infographic,Բեռնել նոր %{language} ինֆոգրաֆիկա
379,hy.visualizations.form.reset_url,Load New %{language} URL,Բեռնել նոր %{language} հղում
380,hy.visualizations.form.datasources_header,Data Sources,Տվյալների աղբյուր
381,hy.visualizations.form.add_datasource,Add Data Source,Ավելացնել տվյալների աղբյուր
382,hy.visualizations.datasource_fields.remove_link,Remove Data Source,Հեռացնել տվյալների աղբյուր
383,hy.notifications.index.title,Notifications,Ծանուցումներ
384,hy.notifications.index.explain,You can recieve email notifications whenever a visualization is added to feradi.info.  Simply sign in via Facebook or sign up with feradi.info to subscribe.,"Դուք կարող եք ստանալ էլեկտրոնային ծանուցումներ, երբ feradi.info-ում վիզուալիզացիա է ավելացվում: Պարզապես մուտք գործեք Facebook-ով կամ գրանցվեք feradi.info-ում"
385,hy.notifications.index.all_sub_title,All Notifications,Բոլոր ծանուցումները
386,hy.notifications.index.all_label,Do you want to recieve any notifications from this site?,Ցանկանո՞ւմ եք ստանալ ծանուցումներ այս կայքէջից
387,hy.notifications.index.all_no,"No, do not send me any notifications.","Ոչ, մի ուղարկեք ինձ ծանուցումներ"
388,hy.notifications.index.all_yes,"Yes, I want notifications sent to me.","Այո, ես ուզում եմ ստանալ ծանուցումներ"
389,hy.notifications.index.visual_comment_sub_title,New Visualization Comment Notifications for %{org},Նոր վիզուալիզացիայի մեկնաբանությունների ծանուցումներ %{org} համար
390,hy.notifications.index.visual_comment_label,Do you want to recieve notifications when a comment is made to your organization's visualizations?,"Ցանկանո՞ւմ եք ստանալ ծանուցումներ, երբ Ձեր կազմակերպության վիզուալիզացիային մեկնաբանություն է ավելացվում"
391,hy.notifications.index.visual_comment_no,"No, do not send me any notifications.","Ոչ, մի ուղարկեք ինձ ծանուցումներ"
392,hy.notifications.index.visual_comment_yes,"Yes, I want notifications sent to me.","Այո, ես ուզում եմ ստանալ ծանուցումներ"
393,hy.notifications.index.new_visuals_sub_title,New Visualization Notifications,Նոր վիզուալիզացիայի ծանուցումներ
394,hy.notifications.index.new_visuals_all,Notify me when any visualization is added.,"Ծանուցեք ինձ, երբ վիզուալիզացիա է ավելացվում"
395,hy.notifications.index.new_visuals_none,I do not want to receive notifications when a new visualization is added.,"Ես չեմ ուզում ստանալ ծանուցում, երբ նոր վիզուալիզացիա է ավելացվում"
396,hy.notifications.index.new_visuals_by_category,Notify me when a visualization is added to:,"Ծանուցեք ինձ, երբ վիզուալիզացիա է ավելացվում."
397,hy.notifications.index.new_ideas_sub_title,New Idea Notifications,Նոր գաղափարի ծանուցումներ
398,hy.notifications.index.new_ideas_all,Notify me when any idea is added.,"Ծանուցեք ինձ, երբ ցանկացած գաղափար է ավելացվում"
399,hy.notifications.index.new_ideas_none,I do not want to receive notifications when a new idea is added.,"Ես չեմ ուզում ստանալ ծանուցում, երբ նոր գաղափար է ավելացվում"
400,hy.notifications.index.new_ideas_by_category,Notify me when an idea is added to:,"Ծանուցեք ինձ, երբ գաղափար է ավելացվում."
401,hy.notifications.index.language_sub_title,Notification Language,Ծանուցման լեզուն
402,hy.notifications.index.language_label,In what language do you want to receive the notifications?,Ի՞նչ լեզվով եք ցանկանում ստանալ ծանուցումները
403,hy.ideas.index.title,Post Ideas,Ներկայացնել գաղափարներ
404,hy.ideas.index.meta_description,"Have an idea for a news story? Wish the media would report on an issue that is important to you? Don't have the time or skills to do it yourself? Post your idea here. If it is a good one, chances are, a journalist will work on it.","Նորության գաղափա՞ր ունեք: Կցանկանայիք, որ լրատվամիջոցները լուսաբանեն Ձեզ համար կարևոր խնդիրը: Չունե՞ք ժամանակ կամ հմտություններ, որպեսզի ինքներդ լուսաբանեք: Ներկայացրեք Ձեր գաղափարներն այստեղ: Եթե այն լավն է, շատ հավանական է, որ լրագրողը կաշխատի դրա վրա:"
405,hy.ideas.index.text_ideas1,"Have an idea for a news story? Wish the media would report on an issue that is important to you? Don't have the time or skills to do it yourself? Post your idea here. If it is a good one, chances are, a journalist will work on it.","Նորության գաղափա՞ր ունեք: Կցանկանայիք, որ լրատվամիջոցները լուսաբանեն Ձեզ համար կարևոր խնդիրը: Չունե՞ք ժամանակ կամ հմտություններ, որպեսզի ինքներդ լուսաբանեք: Ներկայացրեք Ձեր գաղափարներն այստեղ: Եթե այն լավն է, շատ հավանական է, որ լրագրողը կաշխատի դրա վրա:"
406,hy.ideas.index.text_ideas2,"feradi.info makes your ideas social, allowing missed opportunities to become a treasure trove of journalistic brainstorming. Post, vote, share, and watch how ideas take shape and become the news.","feradi.info-ն հանրայնացնում է Ձեր գաղափարները՝ թույլ տալով բաց թողնված հնարավորություններին վերածվելու լրագրողական գաղափարների գանձարանի: Ներկայացրեք, քվեարկեք, կիսվեք, և տեսք, թե ինչպես են գաղափարները նոր ձև ստանում և դառնում լուր:"
407,hy.ideas.index.sign_in,Sign In to Post,Մուտք գործեք՝ գրառում կատարելու համար
408,hy.ideas.user.title,Ideas by: %{name},Գաղափար. %{name}-ով
409,hy.ideas.category.title,Category: %{name},Կատեգորիա. %{name}
410,hy.ideas.explore.title,Explore Ideas,Հետազոտել գաղափարներ
411,hy.ideas.show.title,Idea #%{number},Գաղափար #%{number}
412,hy.ideas.show.idea_by,Idea by %{name},Գաղափար #%{number}-ով
413,hy.ideas.show.claimed_by,Idea Being Worked On,Գաղափարի վրա աշխատում են
414,hy.ideas.show.finished,Finished,Ավարտված է
415,hy.ideas.show.news_url,View Story,Տեսնել պատմությունը
416,hy.ideas.show.take_ownership,Work on Idea (%{org}),Աշխատել գաղափարի վրա (%{org})
417,hy.ideas.show.progress_update,Add,Ավելացնել
418,hy.ideas.show.edit_progress,Edit,Խմբագրել
419,hy.ideas.show.translate_idea,Translate the Idea,Թարգմանել գաղափարը
420,hy.ideas.show.translate_org_progress,Translate the Text,Թարգմանել տեքստը
421,hy.ideas.show.inappropriate_idea,This idea has been reported as inappropriate and is no longer available.,Գաղափարը հայտարարագրվել է որպես անպատշաճ և այլևս հասանելի չէ:
422,hy.ideas.show.status,Status,Կարգավիճակ
423,hy.ideas.search.title,Search: %{q},Որոնել. %{q}
424,hy.ideas.edit.title,Edit Idea #%{number},Խմբագրել գաղափար #%{number}
425,hy.ideas.progress.form.title_claim,Claim Idea,Պահանջել գաղափարը
426,hy.ideas.progress.form.title_progress_update,Progress Update,Առաջընթացի մասին նորություն
427,hy.ideas.progress.form.title_edit_progress,Edit Progress,Խմբագրել առաջընթացը
428,hy.ideas.progress.form.title_error,Error,Սխալ 
429,hy.ideas.progress.form.error,The requested Idea and/or Organization could not be found.,Անհնար էր գտնել հայցվող գաղափարը և/կամ կազմակերպությունը 
430,hy.ideas.report.form.title_old,Report Inappropriate Idea,Զեկուցել անպատշաճ գաղափար
431,hy.ideas.report.form.title,What is the reason for the report?,Ո՞րն է զեկույցի պահանջը
432,hy.ideas.report.form.inappropriate,Inappropriate Content,Անպատշաճ բովանդակություն
433,hy.ideas.report.form.duplicate,Duplicate Idea,Գաղափարի կրկնօրինակ
434,hy.ideas.report.form.duplicate_reason,Which idea is this a duplicate of? (Provide URL),Ո՞ր գաղափարի կրկնօրինակ է սա /տրամադրեք հղում/
435,hy.ideas.report.form.success,The Idea hs been reported.,Գաղափարը զեկուցվել է
